GAME_ID,GAME_DATE,SEASON_TYPE,HOME_TEAM_ID,HOME_TEAM_ABBREVIATION,HOME_TEAM_NAME,AWAY_TEAM_ID,AWAY_TEAM_ABBREVIATION,AWAY_TEAM_NAME,HOME_POINTS,AWAY_POINTS
0012500001,2025-10-03,Regular Season,1610612747,LAL,Los Angeles Lakers,1610612756,PHX,Phoenix Suns,81,103
0012500002,2025-10-06,Regular Season,1610612748,MIA,Miami Heat,1610612749,MIL,Milwaukee Bucks,93,103
0012500003,2025-10-08,Regular Season,1610612748,MIA,Miami Heat,1610612759,SAS,San Antonio Spurs,107,112
0012500004,2025-10-12,Regular Season,1610612747,LAL,Los Angeles Lakers,1610612744,GSW,Golden State Warriors,126,116
0012500005,2025-10-15,Regular Season,1610612747,LAL,Los Angeles Lakers,1610612742,DAL,Dallas Mavericks,94,121
0012500006,2025-10-17,Regular Season,1610612748,MIA,Miami Heat,1610612763,MEM,Memphis Grizzlies,125,141
0012500007,2025-10-17,Regular Season,1610612747,LAL,Los Angeles Lakers,1610612758,SAC,Sacramento Kings,116,117
0012500008,2025-10-02,Regular Season,1610612752,NYK,New York Knicks,1610612755,PHI,Philadelphia 76ers,99,84
0012500010,2025-10-04,Regular Season,1610612755,PHI,Philadelphia 76ers,1610612752,NYK,New York Knicks,104,113
0012500012,2025-10-10,Regular Season,1610612751,BKN,Brooklyn Nets,1610612756,PHX,Phoenix Suns,127,132
0012500013,2025-10-12,Regular Season,1610612756,PHX,Phoenix Suns,1610612751,BKN,Brooklyn Nets,109,111
0012500014,2025-10-06,Regular Season,1610612745,HOU,Houston Rockets,1610612737,ATL,Atlanta Hawks,122,113
0012500015,2025-10-08,Regular Season,1610612744,GSW,Golden State Warriors,1610612757,POR,Portland Trail Blazers,129,123
0012500016,2025-10-08,Regular Season,1610612758,SAC,Sacramento Kings,1610612761,TOR,Toronto Raptors,122,130
0012500017,2025-10-10,Regular Season,1610612757,POR,Portland Trail Blazers,1610612758,SAC,Sacramento Kings,124,123
0012500018,2025-10-11,Regular Season,1610612763,MEM,Memphis Grizzlies,1610612737,ATL,Atlanta Hawks,116,122
0012500019,2025-10-13,Regular Season,1610612737,ATL,Atlanta Hawks,1610612748,MIA,Miami Heat,119,118
0012500020,2025-10-14,Regular Season,1610612740,NOP,New Orleans Pelicans,1610612745,HOU,Houston Rockets,128,130
0012500021,2025-10-14,Regular Season,1610612757,POR,Portland Trail Blazers,1610612744,GSW,Golden State Warriors,111,118
0012500022,2025-10-15,Regular Season,1610612758,SAC,Sacramento Kings,1610612746,LAC,LA Clippers,91,109
0012500023,2025-10-16,Regular Season,1610612753,ORL,Orlando Magic,1610612740,NOP,New Orleans Pelicans,132,125
0012500024,2025-10-16,Regular Season,1610612737,ATL,Atlanta Hawks,1610612745,HOU,Houston Rockets,115,133
0012500025,2025-10-16,Regular Season,1610612762,UTA,Utah Jazz,1610612757,POR,Portland Trail Blazers,132,129
0012500027,2025-10-04,Regular Season,1610612748,MIA,Miami Heat,1610612753,ORL,Orlando Magic,118,126
0012500028,2025-10-04,Regular Season,1610612743,DEN,Denver Nuggets,1610612750,MIN,Minnesota Timberwolves,116,126
0012500029,2025-10-05,Regular Season,1610612766,CHA,Charlotte Hornets,1610612760,OKC,Oklahoma City Thunder,114,135
0012500030,2025-10-05,Regular Season,1610612744,GSW,Golden State Warriors,1610612747,LAL,Los Angeles Lakers,111,103
0012500031,2025-10-06,Regular Season,1610612763,MEM,Memphis Grizzlies,1610612765,DET,Detroit Pistons,112,128
0012500032,2025-10-06,Regular Season,1610612759,SAS,San Antonio Spurs,15018,GUA,Guangzhou Loong-Lions,119,88
0012500033,2025-10-06,Regular Season,1610612742,DAL,Dallas Mavericks,1610612760,OKC,Oklahoma City Thunder,106,89
0012500034,2025-10-06,Regular Season,1610612761,TOR,Toronto Raptors,1610612743,DEN,Denver Nuggets,108,112
0012500035,2025-10-07,Regular Season,1610612739,CLE,Cleveland Cavaliers,1610612741,CHI,Chicago Bulls,117,118
0012500036,2025-10-07,Regular Season,1610612750,MIN,Minnesota Timberwolves,1610612754,IND,Indiana Pacers,134,135
0012500037,2025-10-08,Regular Season,1610612745,HOU,Houston Rockets,1610612762,UTA,Utah Jazz,140,127
0012500038,2025-10-08,Regular Season,1610612763,MEM,Memphis Grizzlies,1610612738,BOS,Boston Celtics,103,121
0012500039,2025-10-09,Regular Season,1610612752,NYK,New York Knicks,1610612750,MIN,Minnesota Timberwolves,100,95
0012500040,2025-10-09,Regular Season,1610612741,CHI,Chicago Bulls,1610612739,CLE,Cleveland Cavaliers,119,112
0012500041,2025-10-09,Regular Season,1610612749,MIL,Milwaukee Bucks,1610612765,DET,Detroit Pistons,117,111
0012500042,2025-10-09,Regular Season,1610612760,OKC,Oklahoma City Thunder,1610612766,CHA,Charlotte Hornets,122,116
0012500043,2025-10-09,Regular Season,1610612746,LAC,LA Clippers,15018,GUA,Guangzhou Loong-Lions,142,95
0012500044,2025-10-10,Regular Season,1610612761,TOR,Toronto Raptors,1610612738,BOS,Boston Celtics,107,105
0012500045,2025-10-10,Regular Season,1610612759,SAS,San Antonio Spurs,1610612762,UTA,Utah Jazz,134,130
0012500046,2025-10-11,Regular Season,1610612754,IND,Indiana Pacers,1610612760,OKC,Oklahoma City Thunder,116,101
0012500047,2025-10-11,Regular Season,1610612742,DAL,Dallas Mavericks,1610612766,CHA,Charlotte Hornets,116,120
0012500048,2025-10-12,Regular Season,1610612764,WAS,Washington Wizards,1610612761,TOR,Toronto Raptors,112,113
0012500049,2025-10-12,Regular Season,1610612753,ORL,Orlando Magic,1610612748,MIA,Miami Heat,120,104
0012500050,2025-10-12,Regular Season,1610612738,BOS,Boston Celtics,1610612739,CLE,Cleveland Cavaliers,138,107
0012500051,2025-10-12,Regular Season,1610612741,CHI,Chicago Bulls,1610612749,MIL,Milwaukee Bucks,121,127
0012500052,2025-10-12,Regular Season,1610612746,LAC,LA Clippers,1610612743,DEN,Denver Nuggets,94,102
0012500053,2025-10-13,Regular Season,1610612754,IND,Indiana Pacers,1610612759,SAS,San Antonio Spurs,108,124
0012500054,2025-10-13,Regular Season,1610612752,NYK,New York Knicks,1610612764,WAS,Washington Wizards,103,120
0012500055,2025-10-13,Regular Season,1610612750,MIN,Minnesota Timberwolves,15018,GUA,Guangzhou Loong-Lions,134,74
0012500056,2025-10-13,Regular Season,1610612762,UTA,Utah Jazz,1610612742,DAL,Dallas Mavericks,101,114
0012500057,2025-10-14,Regular Season,1610612739,CLE,Cleveland Cavaliers,1610612765,DET,Detroit Pistons,118,100
0012500058,2025-10-14,Regular Season,1610612749,MIL,Milwaukee Bucks,1610612760,OKC,Oklahoma City Thunder,112,116
0012500059,2025-10-14,Regular Season,1610612743,DEN,Denver Nuggets,1610612741,CHI,Chicago Bulls,124,117
0012500060,2025-10-14,Regular Season,1610612756,PHX,Phoenix Suns,1610612747,LAL,Los Angeles Lakers,113,104
0012500061,2025-10-15,Regular Season,1610612766,CHA,Charlotte Hornets,1610612763,MEM,Memphis Grizzlies,145,116
0012500062,2025-10-15,Regular Season,1610612738,BOS,Boston Celtics,1610612761,TOR,Toronto Raptors,110,108
