game_id,game_date,offensive_rating_diff,defensive_rating_diff,net_rating_diff,elo_diff,rest_days_diff,home_is_back_to_back,away_is_back_to_back,win_pct_last_5_diff,avg_points_last_5_diff,avg_points_allowed_last_5_diff,recent_point_diff_diff,avg_offensive_rating_last_5_diff,avg_defensive_rating_last_5_diff,avg_net_rating_last_5_diff,target
0012400074,2024-10-18,4.591330621275276,-9.211967573406412,13.80329819468169,58.93067942760422,2,0,1,0.6,-1.7999999999999972,-15.800000000000011,14.000000000000014,4.591330621275276,-9.211967573406412,13.80329819468169,1
0022400061,2024-10-22,9.420023245974704,-0.41550986305642823,9.835533109031111,-0.6599362524400476,3,0,0,0.0,7.599999999999994,-2.0,9.599999999999994,9.420023245974704,-0.41550986305642823,9.835533109031111,1
0022400062,2024-10-22,-14.175701729494904,1.706549266073651,-15.882250995568555,-6.0038129859490255,-1,0,0,0.0,-16.799999999999997,-1.0,-15.799999999999997,-14.175701729494904,1.706549266073651,-15.882250995568555,1
0022400070,2024-10-23,-2.151266970022519,-0.6111417086074908,-1.5401252614150422,4.4534013034717645,0,0,0,0.0,-3.1999999999999886,-1.4000000000000057,-1.799999999999983,-2.151266970022519,-0.6111417086074908,-1.5401252614150422,0
0022400071,2024-10-23,2.2160693839548884,-8.29890823692665,10.514977620881524,5.115777273278127,0,0,0,0.20000000000000007,-5.0,-15.800000000000011,10.800000000000011,2.2160693839548884,-8.29890823692665,10.514977620881524,0
0022400073,2024-10-24,-30.57982496872185,3.637741794922931,-34.217566763644776,-36.34236206033597,4,0,0,-0.4,-23.799999999999997,10.599999999999994,-34.39999999999999,-30.57982496872185,3.637741794922931,-34.217566763644776,0
0022400075,2024-10-24,-9.038767442742412,14.403390741160663,-23.442158183903075,-53.5577026783219,0,0,0,-0.6000000000000001,-4.599999999999994,18.799999999999997,-23.39999999999999,-9.038767442742412,14.403390741160663,-23.442158183903075,0
0022400076,2024-10-24,-10.384187183286642,-0.9532062963063481,-9.430980886980294,-26.674034069377512,5,0,0,-0.2,-15.0,-5.3999999999999915,-9.600000000000009,-10.384187183286642,-0.9532062963063481,-9.430980886980294,0
0022400078,2024-10-25,1.4604446416936838,1.8339696520205138,-0.3735250103267962,7.630867303982313,0,0,0,0.0,5.800000000000011,6.599999999999994,-0.799999999999983,1.4604446416936838,1.8339696520205138,-0.3735250103267962,1
0022400079,2024-10-25,-1.2832249488613883,7.5943412109249095,-8.87756615978628,-19.395707426994704,0,0,0,-0.19999999999999996,-2.200000000000003,7.0,-9.200000000000003,-1.2832249488613883,7.5943412109249095,-8.87756615978628,1
0022400080,2024-10-25,5.369988340511895,6.335838573726448,-0.9658502332145447,-19.24800522600458,0,0,0,-0.2,15.599999999999994,16.799999999999997,-1.2000000000000028,5.369988340511895,6.335838573726448,-0.9658502332145447,1
0022400081,2024-10-25,-3.6710238982088157,-1.3029798815740605,-2.3680440166347583,4.427659832792415,1,0,0,0.0,-8.400000000000006,-6.799999999999997,-1.6000000000000085,-3.6710238982088157,-1.3029798815740605,-2.3680440166347583,1
0022400082,2024-10-25,-0.7294118429327341,-11.820903566174707,11.091491723241958,-18.532328991879695,0,0,0,0.0,2.8000000000000114,-8.799999999999997,11.600000000000009,-0.7294118429327341,-11.820903566174707,11.091491723241958,1
0022400083,2024-10-25,-7.296879084447625,-1.6221508804991487,-5.674728203948487,-5.449210371030176,0,0,0,0.0,-19.0,-13.199999999999989,-5.800000000000011,-7.296879084447625,-1.6221508804991487,-5.674728203948487,0
0022400084,2024-10-25,-9.860902605772736,21.9457935364143,-31.80669614218704,-63.33835394823541,0,0,0,-0.6,-9.799999999999997,23.60000000000001,-33.400000000000006,-9.860902605772736,21.9457935364143,-31.80669614218704,0
